num,Participante,Lugar_admin,Modalidad,Edad,Género,Grupo,Validez,Creencia,ValidezxCreencia,Silogismo,Aceptación,Correctas
1,1,Biología UNC 1°,Resolución Individual,18,M, ,V,C,VC,1,1,1
2,1,Biología UNC 1°,Resolución Individual,18,M, ,V,I,VI,2,1,1
3,1,Biología UNC 1°,Resolución Individual,18,M, ,I,C,IC,3,0,1
4,1,Biología UNC 1°,Resolución Individual,18,M, ,I,I,II,4,0,1
5,1,Biología UNC 1°,Resolución Individual,18,M, ,V,C,VC,5,1,1
6,1,Biología UNC 1°,Resolución Individual,18,M, ,V,I,VI,6,1,1
7,1,Biología UNC 1°,Resolución Individual,18,M, ,I,C,IC,7,1,0
8,1,Biología UNC 1°,Resolución Individual,18,M, ,I,I,II,8,0,1
9,2,Biología UNC 1°,Resolución Individual,23,F, ,V,C,VC,1,1,1
10,2,Biología UNC 1°,Resolución Individual,23,F, ,V,I,VI,2,1,1
11,2,Biología UNC 1°,Resolución Individual,23,F, ,I,C,IC,3,0,1
12,2,Biología UNC 1°,Resolución Individual,23,F, ,I,I,II,4,0,1
13,2,Biología UNC 1°,Resolución Individual,23,F, ,V,C,VC,5,1,1
14,2,Biología UNC 1°,Resolución Individual,23,F, ,V,I,VI,6,1,1
15,2,Biología UNC 1°,Resolución Individual,23,F, ,I,C,IC,7,1,0
16,2,Biología UNC 1°,Resolución Individual,23,F, ,I,I,II,8,1,0
17,3,Biología UNC 1°,Resolución Individual,20,F, ,V,C,VC,1,1,1
18,3,Biología UNC 1°,Resolución Individual,20,F, ,V,I,VI,2,0,0
19,3,Biología UNC 1°,Resolución Individual,20,F, ,I,C,IC,3,0,1
20,3,Biología UNC 1°,Resolución Individual,20,F, ,I,I,II,4,0,1
21,3,Biología UNC 1°,Resolución Individual,20,F, ,V,C,VC,5,0,0
22,3,Biología UNC 1°,Resolución Individual,20,F, ,V,I,VI,6,0,0
23,3,Biología UNC 1°,Resolución Individual,20,F, ,I,C,IC,7,1,0
24,3,Biología UNC 1°,Resolución Individual,20,F, ,I,I,II,8,0,1
25,4,Biología UNC 1°,Resolución Individual,25,F, ,V,C,VC,1,1,1
26,4,Biología UNC 1°,Resolución Individual,25,F, ,V,I,VI,2,1,1
27,4,Biología UNC 1°,Resolución Individual,25,F, ,I,C,IC,3,0,1
28,4,Biología UNC 1°,Resolución Individual,25,F, ,I,I,II,4,0,1
29,4,Biología UNC 1°,Resolución Individual,25,F, ,V,C,VC,5,1,1
30,4,Biología UNC 1°,Resolución Individual,25,F, ,V,I,VI,6,1,1
31,4,Biología UNC 1°,Resolución Individual,25,F, ,I,C,IC,7,1,0
32,4,Biología UNC 1°,Resolución Individual,25,F, ,I,I,II,8,0,1
33,5,Biología UNC 1°,Resolución Individual,20,F, ,V,C,VC,1,1,1
34,5,Biología UNC 1°,Resolución Individual,20,F, ,V,I,VI,2,0,0
35,5,Biología UNC 1°,Resolución Individual,20,F, ,I,C,IC,3,0,1
